"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00042319","2005","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3114.8","","    3114.8","0","        27","0","        13","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       301","0","       185","0","","","","","   -1.1","0,1217,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.1"," ,0,0104, ","   53.9","0,0720, ","","","0.0","0,1206","","","","","","","","","","","","","     508.4","4","     508.4","0","","","     29.01","0","    120.6"," ,0","        0"," ,0","     25.43","0","     32.55","0","     18.31","0","      9455","0"
"USC00042319","2006","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3233.8","","    3233.8","0","        17","0","         5","0","         0","0","        0","","         0","0","         0","0","         6","0","         0","0","       311","0","       184","0","","","","","   -1.7","0,1221, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.2"," ,0,0908, ","   52.8","0,0717, ","    3402.5","0","-1.1","0,1201","","","","","","","","","","","","","     550.5","5","     550.5","0","","","","","     37.5"," ,0","        0"," ,0","     25.61","0","     33.41","0","     17.82","0","      9957","0"
"USC00042319","2007","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3482.6","","    3482.6","0","        10","0","         2","0","         0","0","        0","","         0","0","         0","0","        11","0","         0","0","       316","0","       209","0","","","","","   -4.4","0,0114, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.0"," ,0,0922, ","   53.9","0,0707, ","","","0.0","0,1216","","","","","-0.6","0,0118","-3.9","0,0117","-4.4","0,0114","","","     570.8","8","     570.8","0","","","","","     38.3"," ,0","        0"," ,0","     26.22","0","     33.94","0","     18.51","0","",""
"USC00042319","2008","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3342.6","","    3342.6","0","        11","0","         4","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       307","0","       200","0","","","","","   -1.7","0,1228, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  11.2"," ,0,1126, ","   52.8","0,0710, ","    3637.9","0","0.0","0,1220","","","","","","","","","","","","","     594.9","9","     594.9","0","","","     28.97","0","     31.3"," ,0","        0"," ,0","     25.97","0","     33.76","0","     18.18","0","     12467","0"
"USC00042319","2009","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3083.9","","    3083.9","0","        14","0","         4","0","         0","0","        0","","         0","0","         0","0","         9","0","         0","0","       313","0","       194","0","","","","","   -2.8","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.4"," ,0,0208, ","   53.3","0,0719, ","    3386.0","0","-2.8","0,1209","-2.8","0,1209","","","-0.6","0,0107","","","","","","","     515.8","8","     515.8","0","     12.95","0","     28.10","0","     52.8"," ,0","        0"," ,0","     25.00","0","     33.56","0","     16.44","0","     12002","0"
"USC00042319","2010","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3081.9","","    3081.9","0","        29","0","         7","0","         0","0","        0","","         0","0","         0","0","         7","0","         0","0","       298","0","       183","0","","","","","   -2.2","0,0106,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.9"," ,0,0122, ","   51.7","0,0726,+","    3280.9","0","0.0","0,1126","","","","","-2.2","0,0106","-2.2","0,0106","","","","","     677.2","2","     677.2","0","","","","","     97.7"," ,0","        0"," ,0","     25.06","0","     32.58","0","     17.54","0","     17602","0"
"USC00042319","2011","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3072.6","","    3072.6","7","        14","7","         5","7","         0","7","        0","","         0","7","         0","7","        11","7","         0","7","       309","7","       190","7","","","         2"," ","   -1.1","7,1208, ","     0"," ,7,1231,+","     0"," ,7,1231,+","   7.4"," ,7,0801, ","   51.1","7,0828,+","    3183.8","7","0.0","7,1207","","","","","0.0","7,0203","","","","","","","     633.2","2","     633.2","7","","","     29.35","7","     33.6"," ,7","        0"," ,7","     24.86","7","     32.70","7","     17.03","7","     24285","7"
"USC00042319","2012","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3468.1","","    3468.1","7","        14","7","         7","7","         0","7","        0","","         0","7","         0","7","         3","7","         0","7","       327","7","       200","7","","","         1"," ","   -1.7","7,1222, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  12.4"," ,7,1012, ","   53.3","7,0712, ","","","-1.1","7,1221","","","","","0.0","7,0114","","","","","","","     585.5","5","     585.5","7","","","","","     42.5"," ,7","        0"," ,7","     26.46","7","     34.43","7","     18.49","7","",""
"USC00042319","2013","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3408.8","","    3408.8","7","        11","7","         7","7","         0","7","        0","","         0","7","         0","7","        10","7","         0","7","       316","7","       202","7","         1"," ","","","   -1.7","7,1212,+","     0"," ,7,1231,+","     0"," ,7,1231,+","  14.5"," ,7,0309, ","   53.9","7,0701, ","","","0.0","7,1206","","","","","0.0","7,0116","","","","","","","     488.2","2","     488.2","7","","","","","     55.3"," ,7","        0"," ,7","     26.07","7","     33.66","7","     18.49","7","",""
"USC00042319","2014","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3424.5","","    3424.5","7","        12","7","         6","7","         0","7","        0","","         0","7","         0","7","         2","7","         0","7","       324","7","       214","7","","","","","   -0.6","7,1229, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  14.5"," ,7,0908, ","   52.2","7,0714, ","    3533.1","7","-0.6","7,1229","","","","","0.0","7,0122","","","","","","","     483.1","1","     483.1","7","     16.45","7","     31.05","7","     52.4"," ,7","        0"," ,7","     26.55","7","     34.66","7","     18.45","7","",""
"USC00042319","2015","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3351.7","","    3351.7","7","        15","7","        10","7","         0","7","        0","","         0","7","         0","7","        11","7","         0","7","       314","7","       214","7","","","         2"," ","   -3.3","7,1228, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  14.0"," ,7,1005, ","   51.7","7,0701, ","","","0.0","7,1130","-2.2","7,1219","","","0.0","7,0105","","","","","","","     382.5","5","     382.5","7","","","","","     62.5"," ,7","        0"," ,7","     26.01","7","     34.03","7","     17.99","7","",""
"USC00042319","2016","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3467.0","","    3467.0","7","        16","7","         5","7","         0","7","        0","","         0","7","         0","7","         8","7","         0","7","       305","7","       206","7","","","         1"," ","   -1.7","7,1220, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  11.7"," ,7,0427, ","   52.8","7,0729, ","","","-1.7","7,1220","","","","","-0.6","7,0115","","","","","","","     644.8","8","     644.8","7","","","","","     36.3"," ,7","        0"," ,7","     26.20","7","     33.75","7","     18.65","7","",""
"USC00042319","2017","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3492.0","","    3492.0","7","        11","7","         6","7","         0","7","        0","","         0","7","         0","7","         0","7","         0","7","       321","7","       208","7","","","         1"," ","    0.6","7,1229,+","     0"," ,7,1231,+","     0"," ,7,1231,+","  16.5"," ,7,0218, ","   52.8","7,0801,+","","","","","","","","","","","","","","","","","     533.5","5","     533.5","7","","","","","     37.0"," ,7","        0"," ,7","     26.65","7","     34.09","7","     19.22","7","",""
"USC00042319","2018","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3578.9","","    3578.9","7","        12","7","         2","7","         0","7","        0","","         0","7","         0","7","         0","7","         0","7","       316","7","       210","7","","","","","    0.6","7,1230, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  10.2"," ,7,0109, ","   52.8","7,0727,+","","","","","","","","","","","","","","","","","     437.6","6","     437.6","7","","","","","     23.4"," ,7","        0"," ,7","     26.79","7","     34.23","7","     19.35","7","",""
"USC00042319","2019","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3253.8","","    3253.8","7","        21","7","         9","7","         0","7","        0","","         0","7","         0","7","         3","7","         0","7","       293","7","       182","7","","","","","   -0.6","7,1219,+","     0"," ,7,1231,+","     0"," ,7,1231,+","  21.3"," ,7,0306, ","   51.7","7,0729, ","","","-0.6","7,1219","","","","","-0.6","7,0104","","","","","","","     535.5","5","     535.5","7","","","","","     83.4"," ,7","        0"," ,7","     25.62","7","     32.58","7","     18.65","7","",""
"USC00042319","2020","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3470.2","","    3470.2","7","        13","7","         5","7","         0","7","        0","","         0","7","         0","7","         2","7","         0","7","       318","7","       196","7","","","         1"," ","   -1.1","7,1226, ","     0"," ,7,1231,+","     0"," ,7,1231,+","   4.8"," ,7,1228, ","   54.4","7,0816, ","","","0.0","7,1205","","","","","","","","","","","","","     528.9","9","     528.9","7","","","","","     23.5"," ,7","        0"," ,7","     26.53","7","     34.12","7","     18.93","7","",""
"USC00042319","2021","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3538.6","","    3538.6","7","        14","7","         5","7","         0","7","        0","","         0","7","         0","7","         0","7","         0","7","       323","7","       202","7","","","","","    0.6","7,1220,+","     0"," ,7,1231,+","     0"," ,7,1231,+","  15.7"," ,7,0726, ","   54.4","7,0709, ","","","","","","","","","","","","","","","","","     456.4","4","     456.4","7","","","","","     55.1"," ,7","        0"," ,7","     26.83","7","     34.19","7","     19.48","7","",""
"USC00042319","2022","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3603.3","","    3603.3","W","        10","W","         3","W","         1","W","        0","","         0","7","         0","W","         1","W","         0","W","       324","W","       205","W","","","","","   -1.1","W,0104, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  43.2"," ,W,0805, ","   51.7","W,0906,+","","","","","","","","","-1.1","7,0104","","","","","","","     433.3","3","     433.3","W","","","","","     54.8"," ,W","        0"," ,7","     26.86","W","     34.12","W","     19.59","W","",""
"USC00042319","2023","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3153.4","","    3153.4","W","        26","W","         6","W","         1","W","        0","","         0","7","         0","W","         0","W","         0","W","       293","W","       187","W","","","","","    1.7","W,0122, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  55.9"," ,W,0820, ","   53.3","W,0716, ","","","","","","","","","","","","","","","","","     544.0","0","     544.0","W","","","","","    101.7"," ,W","        0"," ,7","     25.56","W","     32.36","W","     18.77","W","",""
"USC00042319","2024","36.46263","-116.8672","-59.1","DEATH VALLEY NATIONAL PARK, CA US","   3456.3","","    3456.3","7","        15","7","        11","7","         0","7","        0","","         0","7","         0","7","         1","7","         0","7","       304","7","       191","7","","","","","    0.0","7,0113, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  15.5"," ,7,0206, ","   53.9","7,0707, ","","","","","","","","","0.0","W,0113","","","","","","","     480.2","2","     480.2","7","","","","","     75.7"," ,7","        0"," ,7","     26.56","7","     33.38","7","     19.75","7","",""
