"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00241919","1936","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    237.9","","     237.9","0","        83","0","        50","0","         1","0","        30","0","       174","0","        67","0","       138","0","        37","0","","","  -37.8","0,0208, ","  33.0"," ,0,0425, ","   37.8","0,0722, ","-0.6","0,0914","-4.4","0,0916","-4.4","0,0916","-7.8","0,1030","-10.6","0,1101","0.0","0,0619","-12.2","0,0405","-12.2","0,0405","-12.2","0,0405","-12.2","0,0405","    4475.7","7","    4475.7","0","    377.7"," ,0","      6.58","0","     13.72","0","     -0.57","0"
"USC00241919","1937","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    100.4","","     100.4","0","       116","0","        51","0","         1","0","        31","0","       182","0","        54","0","       107","0","         7","0","","","  -33.9","0,0130, ","  27.7"," ,0,0529, ","   35.6","0,0629, ","-1.1","0,0829","-2.8","0,1005","-6.7","0,1101","-6.7","0,1101","-9.4","0,1118","0.0","0,0605","-4.4","0,0506","-4.4","0,0506","-8.3","0,0321","-10.0","0,0319","    4810.9","9","    4810.9","0","    409.8"," ,0","      5.74","0","     12.36","0","     -0.88","0"
"USC00241919","1938","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","        96","0","        57","0","         0","0","","","","","","","","","","","","","","","  24.9"," ,0,1003, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    399.5"," ,0","","","","","",""
"USC00241919","1939","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","        97","0","        45","0","         1","0","","","","","        27","0","       120","0","        31","0","","","","","  28.4"," ,0,0616, ","   37.2","0,0727, ","","","","","","","","","","","","","","","","","","","","","    3983.4","4","    3983.4","0","    341.4"," ,0","","","     14.81","0","",""
"USC00241919","1940","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    239.1","","     239.1","0","       129","0","        65","0","         2","0","        10","0","       141","0","        39","0","       131","0","        27","0","","","  -20.6","0,0121, ","  36.1"," ,0,0727, ","   40.0","0,0712, ","-0.6","0,1015","-3.3","0,1103","-5.0","0,1105","-12.2","0,1109","-12.2","0,1109","-0.6","0,0507","-2.2","0,0412","-9.4","0,0411","-9.4","0,0411","-9.4","0,0411","","","","","    553.0"," ,0","      8.47","0","     14.78","0","      2.16","0"
"USC00241919","1941","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    193.3","","     193.3","0","       122","0","        61","0","         0","0","         1","0","       162","0","        29","0","        97","0","        17","0","","","  -23.3","0,1231, ","  18.0"," ,0,0528, ","   38.9","0,0717, ","-2.2","0,0921","-2.2","0,0921","-5.0","0,1029","-9.4","0,1030","-9.4","0,1030","-2.2","0,0519","-2.2","0,0519","-5.0","0,0419","-6.7","0,0315","-10.0","0,0313","    3762.2","2","    3762.2","0","    450.7"," ,0","      8.04","0","     14.48","0","      1.59","0"
"USC00241919","1942","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    109.6","","     109.6","0","       107","0","        64","0","         2","0","        10","0","       185","0","        42","0","        96","0","         8","0","","","  -25.0","0,0101, ","  34.5"," ,0,0526, ","   34.4","0,0819,+","0.0","0,0829","-3.3","0,0919","-4.4","0,1019","-7.8","0,1102","-13.3","0,1106","-0.6","0,0519","-4.4","0,0424","-4.4","0,0424","-6.7","0,0328","-10.6","0,0326","    4339.2","2","    4339.2","0","    622.0"," ,0","      6.42","0","     13.05","0","     -0.20","0"
"USC00241919","1943","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","        77","0","        45","0","         2","0","","","","","","","","","","","","","","","  30.5"," ,0,1011, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    337.2"," ,0","","","","","",""
"USC00241919","1946","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","    102.2","","     102.2","0","        94","0","        64","0","         2","0","         5","0","       183","0","        33","0","       110","0","        23","0","","","  -23.3","0,1228, ","  31.0"," ,0,0528, ","   37.2","0,0729, ","-1.7","0,0919","-3.3","0,0923","-4.4","0,1007","-8.9","0,1028","-8.9","0,1028","-1.1","0,0524","-5.0","0,0510","-5.0","0,0510","-8.3","0,0316","-12.8","0,0219","    4114.4","4","    4114.4","0","    583.9"," ,0","      6.76","0","     13.36","0","      0.17","0"
"USC00241919","1947","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     83.6","","      83.6","0","       115","0","        67","0","         4","0","         8","0","       160","0","        56","0","       103","0","        16","0","","","  -22.8","0,0102, ","  51.3"," ,0,0822, ","   36.7","0,0714, ","-2.2","0,0914","-2.2","0,0914","-6.7","0,1105","-6.7","0,1105","-11.7","0,1121","-1.7","0,0529","-3.9","0,0408","-6.1","0,0328","-9.4","0,0307","-9.4","0,0307","    4417.9","9","    4417.9","0","    627.9"," ,0","      6.88","0","     13.22","0","      0.55","0"
"USC00241919","1948","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     49.3","","      49.3","0","       116","0","        69","0","         0","0","        15","0","       185","0","        56","0","       114","0","         1","0","","","  -22.2","0,1225,+","  24.9"," ,0,0720, ","   32.2","0,0815, ","-2.8","0,0924","-2.8","0,0924","-4.4","0,1006","-6.7","0,1017","-11.7","0,1205","-0.6","0,0427","-3.3","0,0414","-6.1","0,0408","-7.2","0,0315","-14.4","0,0312","    4417.1","1","    4417.1","0","    561.0"," ,0","      6.01","0","     12.11","0","     -0.09","0"
"USC00241919","1949","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
