"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014755","1981","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       228","0","       160","0","        29","0","      186","","        61","0","        56","0","       238","0","       166","0","         0","0","         0","0","       322"," ","       316"," ","        16"," ","  -39.4","0,0103, ","   406"," ,0,1229,+","   208"," ,0,1229, "," 125.0"," ,0,0220, ","   17.2","0,0708, ","-3.9","0,0909","-3.9","0,0909","-5.6","0,0910","-8.3","0,0928","-10.0","0,0929","-1.1","0,0610","-2.2","0,0608","-4.4","0,0520","-8.3","0,0519","-12.8","0,0518","    7939.9","9","    7939.9","0","   2574.2"," ,0","      31.9","X","     5022"," ,0","     -2.72","0","      0.76","0","     -6.20","0","    87726","X","","","       270","X","","","      65.8","X"
"USW00014755","1982","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       225","0","       166","0","        24","0","      156","","        64","0","        74","0","       235","0","       145","0","         0","0","         0","0","       324"," ","       320"," ","        10"," ","  -39.4","0,0117, ","   508"," ,0,0415,+","   239"," ,0,0101, ","  73.9"," ,0,1105, ","   18.3","0,0716, ","-3.9","0,0821","-3.9","0,0821","-5.0","0,0828","-7.2","0,1009","-10.6","0,1017","-2.2","0,0704","-2.2","0,0704","-4.4","0,0505","-7.8","0,0430","-9.4","0,0429","    7908.4","4","    7908.4","0","   2313.3"," ,0","      34.3","X","     5299"," ,0","     -3.01","0","      0.80","0","     -6.82","0","    95334","X","","","       315","X","","","      72.5","X"
"USW00014755","1983","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       206","0","       167","0","        40","0","      189","","        73","0","        50","0","       245","0","       163","0","         0","0","         0","0","       321"," ","       315"," ","        23"," ","  -38.3","0,1225, ","   381"," ,0,0423,+","   498"," ,0,1222, ","  73.9"," ,0,0203, ","   20.0","0,0704, ","-0.6","0,0812","-3.3","0,0914","-4.4","0,0924","-8.9","0,1015","-8.9","0,1015","-1.1","0,0710","-5.0","0,0609","-5.0","0,0609","-8.9","0,0518","-8.9","0,0518","    7297.5","5","    7297.5","0","   2964.5"," ,0","      37.5","X","     7734"," ,0","     -1.95","0","      1.64","0","     -5.54","0","   102438","X","","","       315","X","","","      73.0","X"
"USW00014755","1984","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       201","0","       159","0","        34","0","      203","","        84","0","        59","0","       244","0","       158","0","         0","0","         0","0","       330"," ","       327"," ","        10"," ","  -35.6","0,0312, ","   406"," ,0,0415,+","   513"," ,0,0405, "," 107.4"," ,0,0602, ","   18.3","0,0828, ","0.0","0,0902","-2.2","0,0905","-5.6","0,0915","-8.3","0,0916","-10.6","0,0927","-0.6","0,0624","-2.8","0,0616","-6.1","0,0518","-6.7","0,0517","-8.9","0,0505","    7582.2","2","    7582.2","0","   2733.3"," ,0","","","     8408"," ,0","     -2.27","0","      1.33","0","     -5.87","0","    90997","X","","","       360","X","","","      64.8","X"
"USW00014755","1985","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       216","0","       166","0","        26","0","      153","","        81","0","        80","0","       240","0","       163","0","         0","0","         0","0","       336"," ","       334"," ","         7"," ","  -34.4","0,1219, ","   381"," ,0,0405,+","   424"," ,0,0312, "," 128.5"," ,0,0927, ","   19.4","0,0715, ","-0.6","0,0831","-5.0","0,0911","-5.0","0,0911","-8.9","0,1011","-8.9","0,1011","-1.1","0,0627","-2.8","0,0607","-6.1","0,0519","-11.7","0,0509","-11.7","0,0509","    7742.2","2","    7742.2","0","   2484.3"," ,0","","","     7800"," ,0","     -3.51","0","      0.16","0","     -7.18","0","    89881","X","","","       315","X","","","      77.1","X"
"USW00014755","1986","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      16.5","X","      0.0","","       0.0","0","       209","0","       168","0","        26","0","      172","","        71","0","        61","0","       244","0","       157","0","         0","0","         0","0","       327"," ","       320"," ","        17"," ","  -38.3","0,0115, ","   305"," ,0,0319,+","   437"," ,0,0103, "," 110.7"," ,0,0126, ","   16.7","0,0519,+","0.0","0,0824","-5.0","0,0828","-5.0","0,0828","-6.7","0,0829","-12.2","0,1006","-0.6","0,0711","-2.2","0,0704","-5.6","0,0625","-8.9","0,0603","-8.9","0,0603","    7596.1","1","    7596.1","0","   2643.8"," ,0","","","     7583"," ,0","     -2.88","0","      0.79","0","     -6.54","0","    83628","X","","","       315","X","","","      58.6","X"
"USW00014755","1987","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      16.1","X","      0.0","","       0.0","0","       206","0","       160","0","        25","0","      179","","        82","0","        50","0","       247","0","       167","0","         0","0","         0","0","       324"," ","       318"," ","        16"," ","  -36.1","0,1230, ","   584"," ,0,0323,+","   460"," ,0,0430, ","  78.0"," ,0,0331, ","   18.3","0,0817,+","-1.7","0,0823","-3.9","0,0824","-7.2","0,0925","-7.2","0,0925","-8.9","0,1008","0.0","0,0729","-2.2","0,0607","-5.0","0,0519","-9.4","0,0516","-9.4","0,0516","    7717.1","1","    7717.1","0","   2432.3"," ,0","","","     9055"," ,0","     -2.62","0","      0.67","0","     -5.91","0","    89769","X","","","       315","X","","","      63.7","X"
"USW00014755","1988","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       221","0","       169","0","        28","0","      217","","        96","0","        73","0","       267","0","       186","0","         0","0","         0","0","       338"," ","       333"," ","        14"," ","  -38.3","0,0114, ","   356"," ,0,0426,+","   536"," ,0,0416, ","  74.2"," ,0,0425, ","   20.6","0,0709, ","-0.6","0,0818","-2.8","0,0821","-5.6","0,0906","-6.7","0,0916","-8.9","0,1006","-1.7","0,0702","-2.2","0,0630","-5.0","0,0624","-6.7","0,0601","-11.1","0,0503","    7842.8","8","    7842.8","0","   2626.8"," ,0","","","    10158"," ,0","     -3.34","0","      0.40","0","     -7.09","0","    83073","X","","","       270","X","","","      74.5","X"
"USW00014755","1989","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      16.4","X","      0.0","","       0.0","0","       217","0","       164","0","        27","0","      171","","        84","0","        88","0","       229","0","       170","0","         0","0","         0","0","       287"," ","       328"," ","        12"," ","  -36.1","0,0104, ","   229"," ,0,0305,+","   386"," ,0,0410, "," 114.0"," ,0,0805, ","   17.8","0,0727,+","-2.8","0,0824","-2.8","0,0824","-7.2","0,0923","-7.2","0,0923","-10.6","0,0927","0.0","0,0615","-2.2","0,0612","-5.0","0,0528","-6.7","0,0509","-11.1","0,0428","    7792.1","1","    7792.1","0","   2722.7"," ,0","","","     8164"," ,0","     -3.54","0","      0.21","0","     -7.28","0","    80073","X","","","       315","X","","","      68.4","X"
"USW00014755","1990","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       206","0","       158","0","        33","0","      169","","        77","0","        51","0","       230","0","       148","0","         0","0","         0","0","       333"," ","       328"," ","        20"," ","  -31.7","0,0114, ","   178"," ,0,0216, ","   371"," ,0,1111, ","  72.4"," ,0,1204, ","   17.8","0,0817,+","-3.9","0,0907","-3.9","0,0907","-4.4","0,0916","-7.2","0,0917","-12.8","0,1019","0.0","0,0707","-5.0","0,0606","-5.0","0,0606","-6.7","0,0531","-8.9","0,0512","    7760.4","4","    7760.4","0","   2672.3"," ,0","","","     7541"," ,0","     -1.48","0","      2.36","0","     -5.32","0","    83194","X","","","       315","X","","","      67.3","X"
"USW00014755","1991","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       209","0","       157","0","        27","0","      158","","        68","0","        58","0","       232","0","       155","0","         0","0","         0","0","       313"," ","       307"," ","        17"," ","  -34.4","0,0125, ","   203"," ,0,0219,+","   373"," ,0,1221, "," 168.4"," ,0,0819, ","   18.9","0,0720, ","-4.4","0,0831","-4.4","0,0831","-4.4","0,0831","-6.7","0,0920","-8.9","0,0929","-0.6","0,0709","-2.8","0,0613","-4.4","0,0519","-6.7","0,0509","-9.4","0,0419","    7182.7","7","    7182.7","0","   2497.5"," ,0","","","     6317"," ,0","     -1.93","0","      1.77","0","     -5.63","0","    95184","X","","","        45","X","","","      69.4","X"
"USW00014755","1992","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      15.0","X","      0.0","","       0.0","0","       208","0","       142","0","        19","0","      193","","        62","0","        63","0","       243","0","       173","0","         0","0","         0","0","       323"," ","       315"," ","        11"," ","  -36.7","0,0116, ","   457"," ,0,0419,+","   597"," ,0,0328, "," 115.3"," ,0,0327, ","   17.2","0,0827,+","0.0","0,0812","-3.9","0,0902","-6.1","0,0923","-10.0","0,0929","-10.0","0,0929","0.0","0,0722","-2.2","0,0623","-7.2","0,0525","-7.2","0,0525","-11.1","0,0506","    7746.4","4","    7746.4","0","   2032.3"," ,0","","","     5985"," ,0","     -3.22","0","      0.58","0","     -7.02","0","    90908","X","","","       270","X","","","      60.1","X"
"USW00014755","1993","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      15.2","X","      0.0","","       0.0","0","       204","0","       147","0","        17","0","      183","","        66","0","        58","0","       241","0","       162","0","         0","0","         0","0","       321"," ","       292"," ","        19"," ","  -37.8","0,1227,+","   229"," ,0,1212, ","   274"," ,0,1211, ","  64.8"," ,0,1128, ","   20.0","0,0706, ","-3.3","0,0911","-3.3","0,0911","-5.0","0,0912","-8.3","0,0919","-9.4","0,0930","-2.2","0,0623","-2.2","0,0623","-5.0","0,0602","-8.3","0,0514","-13.3","0,0427","    7663.7","7","    7663.7","0","   2003.8"," ,0","","","     5906"," ,0","     -2.77","0","      1.01","0","     -6.56","0","    84860","X","","","       315","X","","","      73.5","X"
"USW00014755","1994","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      17.1","X","      0.0","","       0.0","0","       201","0","       142","0","        18","0","      197","","        62","0","        69","0","       252","0","       156","0","         0","0","         0","0","       326"," ","       321"," ","        18"," ","  -41.1","0,0116, ","   229"," ,0,0412,+","   378"," ,0,0322, ","  73.4"," ,0,0911, ","   18.9","0,0721,+","-0.6","0,0805","-2.8","0,0902","-7.2","0,0930","-7.2","0,0930","-8.9","0,1002","-1.7","0,0610","-3.9","0,0602","-6.7","0,0528","-6.7","0,0528","-10.6","0,0514","    7896.3","3","    7896.3","0","   2159.4"," ,0","","","     5993"," ,0","     -2.79","0","      1.06","0","     -6.64","0","    82932","X","","","       270","X","","","      72.0","X"
"USW00014755","1995","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      15.0","X","      0.0","","       0.0","0","       200","0","       139","0","        20","0","      185","","        65","0","        59","0","       233","0","       160","0","         0","0","         0","0","       321"," ","       319"," ","        16"," ","  -39.4","0,0207,+","   279"," ,0,1228,+","   295"," ,0,0224, "," 246.6"," ,0,1021, ","   20.6","0,0731, ","0.0","0,0824","-4.4","0,0910","-4.4","0,0910","-7.8","0,0928","-8.9","0,1016","0.0","0,0615","-2.2","0,0522","-4.4","0,0509","-10.6","0,0508","-10.6","0,0508","    7403.1","1","    7403.1","0","   2317.1"," ,0","","","     5956"," ,0","     -2.53","0","      1.13","0","     -6.18","0","    89693","X","","","","","","","",""
"USW00014755","1996","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       233","0","       159","0","        32","0","      210","","        74","0","        67","0","       243","0","       171","0","         0","0","         0","0","       301"," ","       278"," ","        21"," ","  -36.1","0,0105, ","   457"," ,0,0104, ","   587"," ,0,0410, "," 274.8"," ,0,1021, ","   18.3","0,0612, ","0.0","0,0917","-3.9","0,0923","-4.4","0,0924","-11.7","0,1003","-11.7","0,1003","0.0","0,0720","-2.2","0,0626","-5.0","0,0530","-9.4","0,0525","-9.4","0,0525","    7772.7","7","    7772.7","0","   3002.1"," ,0","","","     8687"," ,0","     -2.91","0","      0.66","0","     -6.49","0","    84652","X","","","       270","X","","","      64.8","X"
"USW00014755","1997","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       225","0","       170","0","        33","0","      219","","       104","0","        67","0","       248","0","       191","0","         0","0","         0","0","       304"," ","       299"," ","        15"," ","  -35.6","0,0118, ","   483"," ,0,0215, ","   480"," ,0,0507, ","  95.3"," ,0,0507, ","   16.7","0,0811,+","-2.2","0,0903","-2.2","0,0903","-6.7","0,0921","-6.7","0,0921","-9.4","0,0923","0.0","0,0719","-3.9","0,0615","-6.1","0,0527","-6.7","0,0526","-11.7","0,0508","    7859.0","0","    7859.0","0","   3006.5"," ,0","","","    11971"," ,0","     -3.60","0","      0.15","0","     -7.34","0","    90114","X","","","        90","X","","","      62.1","X"
"USW00014755","1998","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       188","0","       144","0","        33","0","      179","","        64","0","        27","0","       225","0","       156","0","         1","0","         0","0","       324"," ","       313"," ","        17"," ","  -33.3","0,1230, ","   229"," ,0,1130,+","   432"," ,0,0314, "," 137.4"," ,0,0614,+","   21.1","0,0715, ","-1.1","0,0818","-2.8","0,0922","-6.7","0,0923","-6.7","0,0923","-9.4","0,1005","-1.7","0,0609","-2.8","0,0606","-6.1","0,0605","-6.7","0,0604","-9.4","0,0428","    7091.8","8","    7091.8","0","   2636.6"," ,0","","","     5894"," ,0","     -1.09","0","      2.38","0","     -4.56","0","    87601","X","","","       320","X","","","      54.5","X"
"USW00014755","1999","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       211","0","       159","0","        28","0","      170","","        71","0","        50","0","       237","0","       161","0","         0","0","         0","0","       316"," ","       311"," ","        21"," ","  -37.2","0,0101, ","   229"," ,0,0327,+","   602"," ,0,0322, "," 153.2"," ,0,0322, ","   20.6","0,0903, ","-1.1","0,0809","-3.9","0,0923","-4.4","0,0930","-6.7","0,1004","-11.7","0,1006","-3.3","0,0616","-3.3","0,0616","-4.4","0,0514","-10.6","0,0513","-10.6","0,0513","    7399.4","4","    7399.4","0","   2654.1"," ,0","","","     6910"," ,0","     -1.69","0","      2.21","0","     -5.59","0","    97674","X","       315","W","       320","X","      61.2","W","      61.2","X"
"USW00014755","2000","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       214","0","       168","0","        19","0","      186","","        85","0","        65","0","       249","0","       152","0","         0","0","         0","0","       319"," ","       285"," ","        18"," ","  -35.0","0,0122,+","   305"," ,0,0220, ","   274"," ,0,1105, "," 125.7"," ,0,0716, ","   17.2","0,0626, ","-1.7","0,0820","-5.0","0,0904","-5.0","0,0904","-7.8","0,0928","-11.1","0,1008","0.0","0,0720","-2.8","0,0607","-8.3","0,0519","-8.3","0,0519","-10.0","0,0430","    7389.4","4","    7389.4","0","   2472.5"," ,0","","","     7907"," ,0","     -2.61","0","      1.06","0","     -6.28","0","    71845","X","       315","W","       320","X","      62.1","W","      62.1","X"
"USW00014755","2001","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       180","0","       123","0","        16","0","      165","","        65","0","        50","0","       234","0","       156","0","         0","0","         0","0","       316"," ","       305"," ","        17"," ","  -32.8","0,0222,+","   660"," ,0,0407, ","   455"," ,0,1105, ","  88.9"," ,0,0925, ","   20.6","0,0615,+","-1.1","0,0901","-2.8","0,0902","-4.4","0,0915","-10.0","0,1007","-10.0","0,1007","0.0","0,0728","-4.4","0,0702","-4.4","0,0702","-8.3","0,0531","-8.9","0,0530","    7734.1","1","    7734.1","0","   1793.4"," ,0","","","     6521"," ,0","     -1.83","0","      1.96","0","     -5.61","0","    90522","X","","","       270","X","","","      64.8","X"
"USW00014755","2002","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       209","0","       163","0","        21","0","      207","","       100","0","        56","0","       244","0","       177","0","         0","0","         0","0","       326"," ","       319"," ","        14"," ","  -33.3","0,1209, ","   483"," ,0,0303, ","   277"," ,0,1106, ","  69.6"," ,0,0611, ","   20.6","0,0814,+","0.0","0,0806","-2.2","0,0911","-4.4","0,0912","-8.9","0,1008","-8.9","0,1008","-1.7","0,0711","-2.8","0,0616","-4.4","0,0610","-8.9","0,0603","-8.9","0,0603","    7314.7","7","    7314.7","0","   2231.1"," ,0","","","     8563"," ,0","     -2.42","0","      1.61","0","     -6.45","0","    74585","X","","","       320","X","","","      59.9","X"
"USW00014755","2003","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       206","0","       138","0","        25","0","      175","","        62","0","        77","0","       236","0","       148","0","         2","0","         0","0","       321"," ","       315"," ","        12"," ","  -38.9","0,0214, ","   203"," ,0,0313,+","   257"," ,0,0202, "," 116.6"," ,0,1027, ","   22.2","0,0626, ","-1.1","0,0823","-4.4","0,0824","-4.4","0,0824","-8.3","0,1002","-11.7","0,1003","0.0","0,0616","-4.4","0,0603","-4.4","0,0603","-8.9","0,0503","-8.9","0,0503","    7753.6","6","    7753.6","0","   2252.3"," ,0","","","     5348"," ,0","     -2.52","0","      1.46","0","     -6.49","0","    86498","X","","","       320","X","","","      63.5","X"
"USW00014755","2004","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       188","0","       144","0","        16","0","      184","","        61","0","        62","0","       230","0","       158","0","         0","0","         0","0","       322"," ","       318"," ","        22"," ","  -42.8","0,0115,+","   305"," ,0,1216,+","   356"," ,0,1105, ","  83.6"," ,0,0909, ","   20.0","0,0826, ","0.0","0,0806","-5.0","0,0918","-5.0","0,0918","-10.0","0,1005","-10.0","0,1005","0.0","0,0626","-5.0","0,0620","-5.0","0,0620","-6.7","0,0530","-12.2","0,0508","    7535.3","3","    7535.3","0","   1861.2"," ,0","","","     4695"," ,0","     -2.51","0","      1.29","0","     -6.30","0","    93728","X","","","       320","X","","","      64.8","X"
"USW00014755","2005","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","      0.0","","       0.0","0","       214","0","       153","0","        34","0","      215","","        86","0","        60","0","       227","0","       160","0","         0","0","         0","0","       317"," ","       311"," ","        17"," ","  -33.9","0,0118, ","   813"," ,0,1026, ","   617"," ,0,1025, "," 196.6"," ,0,1016, ","   20.0","0,0808,+","0.0","0,0909","-2.2","0,0910","-6.7","0,0930","-6.7","0,0930","-9.4","0,1020","0.0","0,0623","-3.9","0,0525","-4.4","0,0522","-12.8","0,0513","-12.8","0,0513","    7373.4","4","    7373.4","0","   2977.0"," ,0","","","     9522"," ,0","     -1.73","0","      1.79","0","     -5.25","0","    92449","X","","","       320","X","","","      60.8","X"
"USW00014755","2006","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      16.2","W","      0.0","","       0.0","0","       231","0","       161","0","        33","0","      190","","        63","0","        46","0","       236","0","       147","0","         1","0","         0","0","         7"," ","       325"," ","        17"," ","  -34.4","0,0218, ","   635"," ,0,0303,+","   262"," ,0,1028, "," 114.3"," ,0,1028, ","   21.1","0,0618, ","-0.6","0,0811","-2.8","0,0910","-5.0","0,0921","-9.4","0,1013","-9.4","0,1013","0.0","0,0610","-2.8","0,0524","-7.2","0,0523","-7.2","0,0523","-10.6","0,0507","    7188.0","0","    7188.0","0","   2783.5"," ,0","      27.3","X","     5910"," ,0","     -1.55","0","      1.91","0","     -5.01","0","    74191","X","       270","X","","","      70.6","X","",""
"USW00014755","2007","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      17.2","W","      0.0","","       0.0","0","       221","0","       147","0","        23","0","      190","","        69","0","        71","0","       230","0","       159","0","         0","0","         0","0","        20"," ","       322"," ","        10"," ","  -38.3","0,0306, ","   381"," ,0,1221,+","   315"," ,0,1203, ","  55.4"," ,0,0604, ","   19.4","0,0803, ","-1.1","0,0818","-3.9","0,0915","-5.0","0,0916","-6.7","0,1012","-13.3","0,1028","0.0","0,0702","-3.9","0,0607","-5.6","0,0521","-6.7","0,0513","-9.4","0,0506","    7516.0","0","    7516.0","0","   2084.7"," ,0","      31.7","X","     6629"," ,0","     -2.76","0","      1.21","0","     -6.72","0","    88015","X","        90","X","","","      69.7","X","",""
"USW00014755","2008","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      15.3","W","      0.0","","       0.0","0","       225","0","       153","0","        25","0","      199","","        68","0","        70","0","       231","0","       149","0","         0","0","         0","0","         9"," ","       285"," ","        23"," ","  -32.2","0,0121, ","   635"," ,0,1222, ","   356"," ,0,1125, ","  88.1"," ,0,1125, ","   20.6","0,0610, ","-0.6","0,0819","-2.2","0,0910","-5.6","0,1002","-7.2","0,1006","-8.9","0,1018","-1.7","0,0530","-3.3","0,0529","-8.9","0,0528","-8.9","0,0528","-8.9","0,0528","    7426.3","3","    7426.3","0","   2418.4"," ,0","      32.0","X","     5944"," ,0","     -2.20","0","      1.69","0","     -6.08","0","    88847","X","       270","X","","","      64.8","X","",""
"USW00014755","2009","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      14.0","W","","","","","       212","0","       135","0","        26","0","      185","","        53","0","","","","","       142","0","         0","0","         0","0","        20"," ","       302"," ","        13"," ","","","   584"," ,0,0303,+","   470"," ,0,1127, ","  62.0"," ,0,1127, ","   18.3","0,0818, ","","","","","","","","","","","","","","","","","","","","","    7611.1","1","    7611.1","0","   2141.6"," ,0","      35.8","X","     5467"," ,0","","","      1.27","0","","","    96650","X","       320","X","","","      61.2","X","",""
"USW00014755","2010","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      14.9","W","","","","","       197","0","       132","0","        26","0","      214","","        65","0","        39","0","       224","0","       159","0","         0","0","         0","0","        10"," ","       308"," ","        18"," ","  -32.2","0,0129, ","   914"," ,0,0305,+","   307"," ,0,0428, ","  83.6"," ,0,0315, ","   20.6","0,0708, ","-0.6","0,0806","-2.2","0,0915","-4.4","0,1002","-8.9","0,1009","-8.9","0,1009","0.0","0,0701","-2.8","0,0516","-7.8","0,0513","-7.8","0,0513","-12.2","0,0511","","","","","   2063.7"," ,0","      33.3","X","     5855"," ,0","     -1.59","0","      1.86","0","     -5.03","0","    91159","X","        90","X","","","      59.0","X","",""
"USW00014755","2011","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      15.9","W","      0.0","","       0.0","7","       221","X","       150","X","        22","X","      188","","        67","X","        62","X","       216","7","       145","X","         0","X","         0","X","         2"," ","       325"," ","        23"," ","  -37.2","7,0124, ","   914"," ,X,0325, ","   277"," ,X,0401, "," 169.2"," ,X,0828, ","   18.3","X,0723,+","-5.0","7,0916","-5.0","7,0916","-5.0","7,0916","-8.3","X,1005","-9.4","7,1006","-1.1","7,0620","-2.2","7,0604","-4.4","7,0510","-7.8","7,0507","-10.0","7,0424","","","","","   2235.2"," ,X","      33.5","X","     5997"," ,X","     -1.73","7","      1.95","X","     -5.40","7","    90985","X","       320","X","","","      56.3","X","",""
"USW00014755","2012","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      15.5","W","      0.0","","       0.0","7","       221","W","       133","W","        21","W","      173","","        72","W","        43","7","       220","7","       144","7","         0","7","         0","7","       139"," ","       307"," ","        19"," ","  -30.6","7,0213,+","   762"," ,Z,0305, ","   394"," ,W,1227, ","  77.5"," ,W,0529, ","   19.4","7,0804, ","-0.6","7,0829","-3.9","7,0911","-5.6","7,0916","-7.2","7,1008","-12.8","7,1012","-1.1","7,0607","-2.2","7,0605","-5.0","7,0518","-8.3","7,0501","-13.9","7,0430","    6625.0","0","    6625.0","7","   2125.0"," ,W","","","     6601"," ,W","     -0.90","7","      2.70","7","     -4.49","7","","","        90","W","","","      62.6","W","",""
"USW00014755","2013","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      15.9","W","      0.0","","       0.0","7","       245","W","       162","W","        26","W","      199","","        84","W","        66","7","       224","7","       166","7","         0","7","         0","7","       328"," ","        82"," ","        18"," ","  -37.2","7,0123, ","   889"," ,W,0330, ","   406"," ,W,0319, "," 105.3"," ,W,0809, ","   18.3","7,0601, ","-0.6","7,0805","-3.3","7,0905","-7.2","7,0916","-7.2","7,0916","-8.9","7,1023","-2.2","7,0607","-2.2","7,0607","-5.6","7,0527","-7.2","7,0515","-9.4","7,0514","    7297.4","4","    7297.4","7","   2439.5"," ,W","      32.9","W","     8471"," ,W","     -2.49","7","      1.17","7","     -6.15","7","    90052","W","       210","W","","","      58.1","W","",""
"USW00014755","2014","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      15.6","W","      0.0","","       0.0","7","       236","W","       154","W","        24","W","      197","","        85","W","        67","7","       232","7","       163","7","         0","7","         0","7","       335"," ","","","        18"," ","  -32.2","7,0126, ","   840"," ,W,0313, ","   350"," ,W,0312, ","  81.8"," ,W,1016, ","   20.0","7,0702, ","0.0","7,0907","-4.4","7,0914","-4.4","7,0914","-7.2","7,0918","-10.0","7,0919","-0.6","7,0621","-2.8","7,0528","-4.4","7,0519","-6.7","7,0507","-9.4","7,0425","    7793.3","3","    7793.3","7","   2245.8"," ,W","      34.4","W","     8137"," ,W","     -2.80","7","      1.00","7","     -6.60","7","    93801","W","       270","W","","","      54.1","W","",""
"USW00014755","2015","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","      16.2","W","      0.0","","       0.0","7","       235","W","       168","W","        15","W","      166","","        71","W","        72","7","       222","7","       148","7","         0","7","         0","7","       324"," ","","","        17"," ","  -37.2","7,0223,+","   710"," ,W,0409, ","   432"," ,W,0127, ","  89.2"," ,W,0930, ","   18.3","7,0902,+","-1.1","7,1001","-6.1","7,1002","-6.1","7,1002","-6.7","7,1003","-9.4","7,1010","-0.6","7,0617","-3.3","7,0603","-11.7","7,0523","-11.7","7,0523","-11.7","7,0523","    7825.7","7","    7825.7","7","   2065.8"," ,W","      39.9","W","     6803"," ,W","     -2.28","7","      1.64","7","     -6.20","7","   108563","W","       340","W","","","      63.0","W","",""
