"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00413063","1938","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2263.5","","    2263.5","0","        50","0","        34","0","         5","0","        0","","         0","0","         0","0","         6","0","         0","0","       318","0","       177","0","","","","","   -3.3","0,1125, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.5"," ,0,0829, ","   40.6","0,0730,+","-0.6","0,1108","-3.3","0,1125","","","","","0.0","0,0201","-2.2","0,0126","","","","","","","     376.4","4","     376.4","0","    548.2"," ,0","        0"," ,0","     23.53","0","     30.19","0","     16.86","0"
"USC00413063","1939","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2163.6","","    2163.6","0","        51","0","        38","0","         8","0","        0","","         0","0","         0","0","         3","0","         0","0","       319","0","       161","0","","","         3"," ","   -1.1","0,1230,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  91.9"," ,0,0514, ","   43.3","0,0709, ","-1.1","0,1229","","","","","","","0.0","0,0222","","","","","","","","","     382.7","7","     382.7","0","    607.8"," ,0","        0"," ,0","     23.38","0","     30.19","0","     16.57","0"
"USC00413063","1940","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        73","0","        46","0","         8","0","        0","","         0","0","","","","","         0","0","       315","0","       175","0","","","         2"," ","","","     0"," ,0,1231,+","    15"," ,0,0123, ","  47.2"," ,0,0716, ","   42.8","0,0828,+","","","","","","","","","","","","","","","","","","","","","","","    579.5"," ,0","       25"," ,0","","","     29.77","0","",""
"USC00413063","1941","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        95","0","        56","0","         8","0","        0","","         0","0","         0","0","         1","0","         0","0","       297","0","       158","0","","","","","   -2.8","0,0119, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  98.0"," ,0,0427, ","   40.6","0,0826,+","","","","","","","","","-2.8","0,0119","-2.8","0,0119","","","","","","","","","","","    929.6"," ,0","        0"," ,0","     22.97","0","     28.83","0","     17.11","0"
"USC00413063","1942","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2157.8","","    2157.8","0","        58","0","        36","0","         5","0","        0","","         0","0","         0","0","         7","0","         0","0","       323","0","       155","0","","","","","   -2.8","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 121.9"," ,0,1005, ","   43.3","0,0611, ","-2.2","0,1229","-2.2","0,1229","","","","","-2.2","0,0111","-2.2","0,0111","","","","","","","     436.5","5","     436.5","0","    663.0"," ,0","        0"," ,0","     23.09","0","     29.99","0","     16.18","0"
"USC00413063","1943","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2179.9","","    2179.9","0","        62","0","        42","0","         7","0","        0","","         0","0","         0","0","        11","0","         0","0","       315","0","       165","0","         2"," ","","","   -3.3","0,0119, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  64.0"," ,0,0927, ","   41.7","0,0817,+","-2.2","0,1216","-2.2","0,1216","","","","","-0.6","0,0213","-2.2","0,0121","","","","","","","     311.3","3","     311.3","0","    662.1"," ,0","        0"," ,0","     23.14","0","     30.35","0","     15.94","0"
"USC00413063","1944","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        55","0","        40","0","         7","0","        0","","         0","0","         0","0","        11","0","         0","0","       315","0","       168","0","","","","","   -4.4","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.6"," ,0,0927, ","   42.2","0,0726, ","-2.2","0,1211","-2.2","0,1211","","","","","0.0","0,0119","-3.9","0,0116","-4.4","0,0109","","","","","     393.0","0","     393.0","0","    542.7"," ,0","        0"," ,0","     22.95","0","     30.25","0","     15.66","0"
"USC00413063","1945","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        11"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00413063","1946","27.1354","-98.1202","42.4","FALFURRIAS, TX US","","","","","        65","0","        35","0","         5","0","        0","","         0","0","         0","0","         4","0","         0","0","       322","0","       181","0","        14"," ","         8"," ","   -1.1","0,0123, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.1"," ,0,0422, ","   42.2","0,0730, ","0.0","0,1231","","","","","","","0.0","0,0210","","","","","","","","","","","","","    622.2"," ,0","        0"," ,0","     23.61","0","     30.43","0","     16.78","0"
"USC00413063","1947","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2215.5","","    2215.5","0","        49","0","        28","0","         5","0","        0","","         0","0","         0","0","         8","0","         0","0","       300","0","       185","0","        10"," ","        10"," ","   -3.3","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 134.1"," ,0,0802, ","   41.7","0,0716, ","","","","","","","","","-1.7","0,0206","-3.3","0,0105","","","","","","","","","","","    509.1"," ,0","        0"," ,0","     22.63","0","     29.54","0","     15.72","0"
