"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN006031000","1997","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       311","S","       179","S","","","","","   45.1","S,0528,+","","","","","","","","","     31.80","S","",""
"IN006031000","1998","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       311","S","       192","S","","","","","   48.8","S,0526,+","","","","","","","","","     32.90","S","",""
"IN006031000","2001","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       323","S","       216","S","","","","","   46.5","S,0512,+","","","","","","","","","     33.21","S","",""
"IN006031000","2003","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       308","S","       209","S","","","","","   47.9","S,0605, ","","","","","","","","","     32.49","S","",""
"IN006031000","2004","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       321","S","       227","S","","","","","   45.9","S,0518,+","","","","","","","","","     33.89","S","",""
"IN006031000","2005","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       322","S","       214","S","","","","","   46.8","S,0606,+","","","","","","","","","     33.15","S","",""
"IN006031000","2007","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       328","S","       213","S","","","","","   48.7","S,0425, ","","","","","","","","","     33.34","S","",""
"IN006031000","2008","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       339","S","       244","S","","","","","   46.2","S,0504,+","","","","","","","","","     33.78","S","",""
"IN006031000","2009","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       346","S","       229","S","","","","","   46.7","S,0518,+","","","","","","","","","     34.69","S","",""
"IN006031000","2012","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       328","S","       206","S","","","","","   46.7","S,0601,+","","","","","","","","","     32.59","S","",""
"IN006031000","2013","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       331","S","       208","S","","","","","   47.3","S,0525,+","","","","","","","","","     32.37","S","",""
"IN006031000","2014","29.167","75.733","221.0","HISSAR, IN","","","","","","","         0","S","         1","S","         0","S","       312","S","       211","S","   -2.1","S,0106, ","","","   47.1","S,0609, ","","","-2.1","S,0106","","","     24.83","S","     32.61","S","     17.06","S"
"IN006031000","2015","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       324","S","       200","S","","","","","   45.5","S,0523,+","","","","","","","","","     32.39","S","",""
"IN006031000","2019","29.167","75.733","221.0","HISSAR, IN","","","","","","","         0","S","         0","S","","","","","","","    0.2","S,1229,+","","","","","","","","","","","","","","","     17.30","S"
"IN006031000","2020","29.167","75.733","221.0","HISSAR, IN","","","","","","","         0","S","         2","S","","","","","","","   -1.2","S,1231, ","","","","","0.0","S,1229","","","","","","","","","     16.43","S"
"IN006031000","2022","29.167","75.733","221.0","HISSAR, IN","","","","","","","         0","S","         0","S","","","","","","","    1.6","S,0102, ","","","","","","","","","","","","","","","     17.81","S"
