"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00021353","1990","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1706.7","","    1706.7","0","        47","0","        30","0","         5","0","        0","","         0","0","         0","0","        17","0","         0","0","       284","0","       145","0","         1"," ","   -5.0","0,1223, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  84.3"," ,0,0814, ","   46.7","0,0626, ","0.0","0,1218","-3.9","0,1222","-5.0","0,1223","-2.2","0,0314","-2.2","0,0314","-4.4","0,0216","","","     754.6","6","     754.6","0","    461.0"," ,0","        0"," ,0","     20.75","0","     28.46","0","     13.03","0"
"USC00021353","1991","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1648.1","","    1648.1","0","        40","0","        25","0","         5","0","        0","","         0","0","         0","0","         4","0","         0","0","       279","0","       144","0","","","   -0.6","0,0130, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  85.1"," ,0,0301, ","   42.8","0,0808,+","0.0","0,1129","","","","","-0.6","0,0130","","","","","","","     777.3","3","     777.3","0","    446.1"," ,0","        0"," ,0","     20.66","0","     28.19","0","     13.13","0"
"USC00021353","1992","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1684.2","","    1684.2","0","        63","0","        37","0","         8","0","        0","","         0","0","         0","0","         7","0","         0","0","       278","0","       151","0","         4"," ","   -1.7","0,0116, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  82.6"," ,0,0822, ","   41.7","0,0818,+","0.0","0,1215","","","","","-1.7","0,0116","","","","","","","     783.0","0","     783.0","0","    693.5"," ,0","        0"," ,0","     20.74","0","     28.09","0","     13.40","0"
"USC00021353","1993","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1685.1","","    1685.1","0","        57","0","        39","0","        10","0","        0","","         0","0","         0","0","         4","0","         0","0","       285","0","       140","0","","","   -0.6","0,1223,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.3"," ,0,0108, ","   45.0","0,0801, ","0.0","0,1125","","","","","","","","","","","","","     820.8","8","     820.8","0","    651.7"," ,0","        0"," ,0","     20.77","0","     28.11","0","     13.43","0"
"USC00021353","1994","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1773.9","","    1773.9","0","        43","0","        28","0","         4","0","        0","","         0","0","         0","0","         7","0","         0","0","       282","0","       142","0","","","   -1.7","0,1120,+","     0"," ,0,1231,+","     0","T,0,1119, ","  33.8"," ,0,0806, ","   46.1","0,0628, ","-1.7","0,1120","","","","","-0.6","0,0223","","","","","","","     740.3","3","     740.3","0","    358.6"," ,0","        0","T,0","     21.06","0","     28.69","0","     13.41","0"
"USC00021353","1995","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1701.6","","    1701.6","0","        45","0","        26","0","         7","0","        0","","         0","0","         0","0","         1","0","         0","0","       295","0","       137","0","","","   -0.6","0,0118, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  57.7"," ,0,0215, ","   48.9","0,0728, ","","","","","","","-0.6","0,0118","","","","","","","     798.6","6","     798.6","0","    475.4"," ,0","        0"," ,0","     21.32","0","     28.99","0","     13.66","0"
"USC00021353","1998","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","    1006.9","9","    1006.9","0","","","        0"," ,0","","","","","",""
"USC00021353","1999","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00021353","2000","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00021353","2001","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","        15","0","        15","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.6"," ,0,0109, ","","","","","","","","","","","","","","","","","","","","","    179.8"," ,0","        0"," ,0","","","","","",""
