"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00142972","1926","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        47","6","        37","6","         6","6","","","","","         2","6","       145","6","","","","","","","","","  -21.1","6,1215, ","","","","","  35.3"," ,6,0618, ","","","-3.3","6,1024","-3.3","6,1024","-10.6","6,1104","-10.6","6,1104","-10.6","6,1104","-0.6","6,0428","-2.2","6,0406","-8.9","6,0403","-8.9","6,0403","-8.9","6,0403","","","","","    437.0"," ,6","","","","","","","      5.07","6"
"USC00142972","1927","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        44","6","        34","6","         1","6","","","","","         5","6","       129","6","","","","","","","","","  -22.2","6,1208, ","","","","","  35.6"," ,6,0311, ","","","0.0","6,1013","-2.8","6,1102","-9.4","6,1115","-9.4","6,1115","-9.4","6,1115","-3.9","6,0421","-3.9","6,0421","-8.9","6,0321","-8.9","6,0321","-8.9","6,0321","","","","","    325.6"," ,6","","","","","","","      4.87","6"
"USC00142972","1928","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        65","6","        51","6","         6","6","","","","","","","","","         8","6","       190","6","        58","6","","","","","","","","","  49.0"," ,6,0725, ","   38.9","6,0705, ","","","","","","","","","","","","","","","","","","","","","","","","","    717.2"," ,6","","","","","     20.78","6","",""
"USC00142972","1929","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        54","6","        44","6","         4","6","","","        11","6","         8","6","       148","6","","","","","","","","","  -26.1","6,0209, ","","","   102"," ,6,1109,+","  50.8"," ,6,0511, ","","","-1.7","6,1021","-2.8","6,1024","-4.4","6,1031","-7.2","6,1104","-8.9","6,1111","0.0","6,0502","-3.3","6,0411","-6.1","6,0401","-6.7","6,0317","-8.9","6,0301","","","","","    465.1"," ,6","      775"," ,6","","","","","      3.74","6"
"USC00142972","1930","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    781.1","","     781.1","6","        57","6","        48","6","         7","6","","","","","        12","6","       144","6","        18","6","       202","6","        78","6","","","  -25.6","6,0116, ","","","","","  50.8"," ,6,1011, ","   42.8","6,0628, ","-1.1","6,1019","-2.2","6,1024","-7.2","6,1116","-7.2","6,1116","-11.1","6,1218","0.0","6,0403","-2.2","6,0401","-6.1","6,0330","-8.9","6,0329","-8.9","6,0329","","","","","    585.3"," ,6","","","     12.89","6","     21.13","6","      4.65","6"
"USC00142972","1931","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        45","6","        39","6","         4","6","","","         8","6","         0","6","       137","6","","","","","","","","","  -16.7","6,0327, ","","","   102"," ,6,0330,+","  55.6"," ,6,0809, ","","","-2.8","6,1030","-2.8","6,1030","-8.9","6,1031","-8.9","6,1031","-8.9","6,1031","-2.2","6,0522","-2.2","6,0522","-16.1","6,0331","-16.1","6,0331","-16.1","6,0331","    2707.0","0","    2707.0","6","    475.8"," ,6","      530"," ,6","","","","","      5.72","6"
"USC00142972","1932","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    842.5","","     842.5","6","        45","6","        34","6","         5","6","","","         8","6","         5","6","       137","6","        25","6","       205","6","        88","6","","","  -25.0","6,1212, ","","","   152"," ,6,0105, ","  33.3"," ,6,0619, ","   41.1","6,0718, ","-3.9","6,1005","-3.9","6,1005","-5.6","6,1029","-6.7","6,1112","-10.0","6,1115","0.0","6,0412","-3.9","6,0411","-7.2","6,0322","-7.2","6,0322","-10.6","6,0313","","","","","    412.5"," ,6","      423"," ,6","     12.83","6","     21.30","6","      4.36","6"
"USC00142972","1933","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    950.6","","     950.6","6","        36","6","        28","6","         7","6","","","         1","6","         4","6","       137","6","         6","6","       213","6","        97","6","","","  -26.1","6,0209,+","","","    25"," ,6,0227, ","  60.2"," ,6,0816, ","   43.3","6,0630, ","-4.4","6,1018","-4.4","6,1018","-4.4","6,1018","-6.7","6,1211","-12.2","6,1226","-0.6","6,0416","-3.3","6,0415","-5.0","6,0414","-7.8","6,0406","-11.1","6,0320","    2572.2","2","    2572.2","6","    478.6"," ,6","       38"," ,6","     14.40","6","     23.58","6","      5.22","6"
"USC00142972","1934","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        35","6","        28","6","         1","6","","","         9","6","         0","6","       130","6","","","","","","","","","  -16.7","6,0226, ","","","   178"," ,6,0210, ","  29.7"," ,6,0901, ","","","0.0","6,0921","-2.2","6,1112","-7.2","6,1122","-7.2","6,1122","-9.4","6,1201","0.0","6,0413","-5.6","6,0330","-5.6","6,0330","-13.9","6,0318","-13.9","6,0318","","","","","    230.7"," ,6","      658"," ,6","","","","","      5.66","6"
"USC00142972","1935","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        37","6","        23","6","         0","6","","","","","         3","6","       136","6","","","","","","","","","  -23.3","6,0121, ","","","","","  22.6"," ,6,0514, ","","","-0.6","6,1005","-3.3","6,1021","-7.8","6,1101","-7.8","6,1101","-10.6","6,1111","-0.6","6,0503","-5.0","6,0412","-5.0","6,0412","-9.4","6,0307","-9.4","6,0307","","","","","    242.8"," ,6","","","","","","","      5.05","6"
